disasterNumber,state,county_clean,owner_validRegistrations,owner_totalDamage,owner_approved,owner_totalApprovedIhp,owner_repairReplaceAmount,owner_rentalAmount,renter_validRegistrations,renter_approved,renter_totalApprovedIhp,renter_repairReplaceAmount,renter_rentalAmount,renter_otherNeedsAmount,ia_totalApprovedIhp,ia_validRegistrations,ia_owner_totalDamage
4339,PR,Arroyo,4445.0,13160032.81,2076.0,8396739.69,5296323.03,587848.0,1468.0,722.0,1291082.2000000002,0.0,148311.0,1142771.2000000002,9687821.89,5913.0,13160032.81
4339,PR,Barceloneta,6328.0,12643961.85,3087.0,10928724.94,5992851.31,1065757.0,1993.0,935.0,1648762.5799999998,3733.07,206702.0,1437584.51,12577487.52,8321.0,12643961.85
4339,PR,Barranquitas,6975.0,24758577.95,4091.0,18293506.43,10550634.72,1272848.0,2873.0,1618.0,3329079.16,3326.79,360542.0,2965210.37,21622585.59,9848.0,24758577.95
4339,PR,Bayamon,41094.0,52405990.25,15226.0,38024785.6,21066646.39,4925392.96,22160.0,9404.0,10945517.24,9203.53,2002669.96,8932417.05,48970302.84,63254.0,52405990.25
4339,PR,Cabo Rojo,10799.0,6189421.0,3302.0,5655094.67,2650061.71,487553.0,3492.0,1158.0,1101936.52,3506.76,88336.0,1010093.76,6757031.1899999995,14291.0,6189421.0
4339,PR,Caguas,28581.0,43412468.39999999,11152.0,30473893.44,16993384.919999998,3134450.85,14040.0,6213.0,8594733.77,313.02,1313341.0,7280612.750000001,39068627.21,42621.0,43412468.39999999
4339,PR,Camuy,8214.0,9556430.52,3097.0,8613569.91,4527492.88,686798.21,2225.0,840.0,1053919.17,6479.29,95836.0,951603.88,9667489.08,10439.0,9556430.52
4339,PR,Canovanas,12309.0,52208739.74,6217.0,30379953.28,16451037.49,2688113.0,3544.0,1761.0,4079263.71,29691.93,681366.0,3368205.78,34459216.99,15853.0,52208739.74
4339,PR,Carolina,33635.0,27784349.96,11735.0,21188316.91,9996572.78,3028670.0,18430.0,7834.0,8667206.719999999,7357.629999999999,1391220.0,7268356.59,29855523.63,52065.0,27784349.96
4339,PR,Catano,4360.0,8363243.0,2005.0,6587715.53,3360192.74,829976.0,3348.0,1611.0,2077218.74,8698.18,305804.0,1762716.56,8664934.27,7708.0,8363243.0
